"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J8";"GCT_SIM8060-6-0-14-00-A";1;"SIM8060-6-0-14-00-A";;;
2;"C23,C30,C19,C20,C4,C6,C26,C12,C11,C10,C5,C8,C7";"C_0603_1608Metric";13;"0.1uF";;;
3;"C21,C15";"C_0603_1608Metric";2;"220pF";;;
4;"CN1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"JST_2PIN";;;
5;"D9";"SOT-363_SC-70-6";1;"SMF05CT1G";;;
6;"R13,R25,R24,R23,R22,R14,R21";"R_0805_2012Metric";7;"12K";;;
7;"D2";"SOT-23";1;"PESD1CAN";;;
8;"X1";"Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm";1;"16MHz";;;
9;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551";;;
10;"Q5,Q4";"SOT-23";2;"BSS138";;;
11;"J5,J3";"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal";2;"Screw_Terminal_01x04";;;
12;"D11,D4";"D_SMA";2;"SMAJ15A-13-F";;;
13;"C22,C3,C25,C24";"C_0603_1608Metric";4;"10uF";;;
14;"U11";"TO-220-5_Vertical";1;"LM2941CT-ADJ";;;
15;"U8";"TSOP-5_1.65x3.05mm_P0.95mm";1;"TLV379";;;
16;"R16,R17,R5,R2,R19,R18,R7,R10,R8,R9";"R_0805_2012Metric";10;"1K";;;
17;"R15";"R_0805_2012Metric";1;"3.3K";;;
18;"R12";"R_0805_2012Metric";1;"4.02M";;;
19;"R11";"R_0805_2012Metric";1;"1.2M";;;
20;"C31";"C_1206_3216Metric";1;"100uF";;;
21;"C34,C32";"C_0603_1608Metric";2;"33pF";;;
22;"U12";"SIM900_SMT";1;"SIM808";;;
23;"J2";"GCT_USB3145-XX-X_REVB";1;"USB_B_Micro";;;
24;"U7,U6,U5";"SOT-23-5";3;"74LVC1G17";;;
25;"U2";"TQFP-48_7x7mm_P0.5mm";1;"ATSAMD21G_TQFP";;;
26;"U10";"SOT-23-5";1;"TLV75733PDBVR";;;
27;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TJA1027T";;;
28;"R20,R1";"R_0805_2012Metric";2;"300";;;
29;"Q3";"SOT-23";1;" DMP3099L-7  ";;;
30;"D1,D6,D5";"D_SOD-123";3;"BAV16W";;;
31;"C28,C29,C27,C18,C9";"C_0603_1608Metric";5;"1uF";;;
32;"C17,C14,C2,C1";"C_0603_1608Metric";4;"22pF";;;
33;"K1";"Relay_SPST_Omron_G5RL";1;"G5RL-K1A";;;
34;"J6,J7";"U.FL_Molex_MCRF_73412-0110_Vertical";2;"uFL";;;
35;"L1";"L_0805";1;"33nH";;;
36;"C16,C13";"C_0603_1608Metric";2;"560pF";;;
37;"R6,R4";"R_0805_2012Metric";2;"100";;;
38;"R3";"R_0805_2012Metric";1;"4.7K";;;
39;"PWRSTAT1,D3";"LED_0805_2012Metric";2;"GREEN";;;
40;"NETSTAT1";"LED_0805_2012Metric";1;"BLUE";;;
41;"D10";"D_SOD-123";1;"MMSZ5231BT1G";;;
42;"D7";"D_SMA";1;"B360A-13-Fâ€Ž";;;
43;"D8";"LED_0805_2012Metric";1;"ORANGE";;;
44;"C33";"C_0603_1608Metric";1;"10pF";;;
45;"J4";"Hirose_DM3D-SF";1;"microsd";;;
46;"Q2,Q1";"SOT-23";2;"MMBT3904";;;
47;"X2";"Crystal_SMD_G8-2pin_3.2x1.5mm";1;"32.768";;;
48;"U1";"SOIC-18W_7.5x11.6mm_Pitch1.27mm";1;"MCP2515";;;
49;"SW1";"EVQ-Q2";1;"SWITCH_TACT";;;
50;"J1";"PinHeader_2x5_P1.27mm";1;"Conn_02x05_Odd_Even";;;
